Q2,Q3,Q4,Q6,Q7,Q46,Q48,Q49,Q50,Q52,Q55,Q56,Q57,Q59,Q60,Q71,Q72,Q84,Q85,Q86,Q87,Q88,Q89,DRNO,DHISP,DDIS,DAGEGRP,DSUPER,DFEDTEN,DSEX,DMIL,DLEAVING
4.0,3.0,4.0,3.0,5.0,5,4.0,5.0,5.0,5.0,1,1,1,2,1,5,5,2,2.0,4.0,2.0,4.0,4.0,B,B,B,A,A,B,A,B,C
5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,B,B,B,B,A,C,A,B,A
2.0,3.0,4.0,3.0,2.0,4,2.0,4.0,4.0,4.0,2,4,4,4,3,X,X,X,3.0,3.0,2.0,3.0,2.0,B,B,B,B,A,C,A,B,B
4.0,5.0,5.0,4.0,5.0,5,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,4.0,4.0,5.0,5.0,5.0,C,B,B,B,A,B,B,B,B
4.0,4.0,4.0,5.0,5.0,5,4.0,5.0,5.0,5.0,4,5,5,5,4,4,4,Y,4.0,5.0,5.0,5.0,5.0,B,B,B,B,A,C,A,B,A
5.0,5.0,5.0,4.0,5.0,5,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5.0,5.0,4.0,5.0,5.0,A,B,A,B,A,A,A,A,A
4.0,4.0,3.0,4.0,5.0,5,5.0,5.0,5.0,5.0,2,X,4,2,3,3,5,5,4.0,5.0,4.0,5.0,4.0,B,B,B,B,B,C,A,B,A
5.0,4.0,3.0,2.0,3.0,5,5.0,5.0,5.0,5.0,4,5,5,5,4,5,5,4,2.0,3.0,1.0,4.0,4.0,B,B,B,B,A,B,A,B,D
3.0,2.0,4.0,2.0,3.0,2,4.0,4.0,3.0,4.0,2,X,X,4,X,4,4,Y,3.0,3.0,4.0,3.0,5.0,D,,,,,,,B,
4.0,4.0,4.0,4.0,4.0,3,4.0,4.0,4.0,4.0,3,3,3,X,4,X,X,X,3.0,3.0,3.0,3.0,3.0,B,B,B,B,A,C,B,B,A
